ID,Catégorie,Horodate,Entrant,Sortant
2352,VELO,2022/10/04 15:34:26.431,,x
2354,VL,2022/10/04 15:34:28.629,,x
2356,VL,2022/10/04 15:34:36.898,,x
2359,VL,2022/10/04 15:34:44.098,,x
2371,VL,2022/10/04 15:35:26.698,,x
2372,VL,2022/10/04 15:36:36.628,,x
2373,VELO,2022/10/04 15:37:55.428,,x
2376,VL,2022/10/04 15:38:08.761,,x
2378,VELO,2022/10/04 15:38:15.094,x,
2377,VELO,2022/10/04 15:38:15.361,,x
101285,VELO,2022/10/04 15:38:31.628,x,
2384,VELO,2022/10/04 15:38:48.893,,x
2386,MOTO,2022/10/04 15:39:27.495,,x
2388,VL,2022/10/04 15:39:54.428,,x
101287,VELO,2022/10/04 15:39:57.961,x,
2393,VELO,2022/10/04 15:40:13.161,,x
2394,VELO,2022/10/04 15:40:39.092,x,
2397,VELO,2022/10/04 15:40:46.094,x,
2399,VELO,2022/10/04 15:41:36.559,,x
2400,VELO,2022/10/04 15:42:17.826,,x
2403,VL,2022/10/04 15:43:23.156,,x
101297,VL,2022/10/04 15:43:26.489,x,
2409,VELO,2022/10/04 15:44:47.090,x,
101300,UT,2022/10/04 15:44:54.823,x,
2411,PL_2,2022/10/04 15:45:43.289,,x
2412,VL,2022/10/04 15:46:24.957,,x
101301,VL,2022/10/04 15:46:51.156,x,
101303,VL,2022/10/04 15:47:30.691,x,
2421,VL,2022/10/04 15:47:42.022,,x
2422,VELO,2022/10/04 15:48:00.889,x,
2423,VELO,2022/10/04 15:48:39.289,x,
2424,VL,2022/10/04 15:48:59.689,,x
2425,VELO,2022/10/04 15:49:36.354,x,
2428,VELO,2022/10/04 15:50:30.619,,x
101326,VELO,2022/10/04 15:51:52.220,x,
2458,VELO,2022/10/04 15:53:20.420,,x
2459,VELO,2022/10/04 15:53:27.420,,x
101348,VELO,2022/10/04 15:53:31.884,x,
101353,VL,2022/10/04 15:53:33.685,x,
101359,VL,2022/10/04 15:53:35.285,x,
2464,VELO,2022/10/04 15:54:05.751,,x
101369,VL,2022/10/04 15:54:27.353,x,
101377,VL,2022/10/04 15:55:02.153,x,
2467,VL,2022/10/04 15:55:20.419,,x
101387,MOTO,2022/10/04 15:55:29.817,x,
101395,VL,2022/10/04 15:56:26.216,x,
101401,VELO,2022/10/04 15:57:00.284,,x
101413,VELO,2022/10/04 15:57:20.481,x,
2476,VELO,2022/10/04 15:57:38.547,x,
101430,VL,2022/10/04 15:57:46.481,x,
