Jour,Heure,Seconde,Centième,Vitesse,Type Véhicule,Catégorie,Inter-essieux,E2/E3,E3/E4,E4/E5,E5/E6
16/10/22,14:59,24,71,47,VL,1,257,,,,
16/10/22,15:0,44,44,52,VL,1,244,,,,
16/10/22,15:1,19,62,47,VL,1,256,,,,
16/10/22,15:2,2,8,27,VL,1,244,,,,
16/10/22,15:2,3,73,28,VL,1,270,,,,
16/10/22,15:2,8,66,42,VL,1,269,,,,
16/10/22,15:2,53,0,43,VL,1,282,,,,
16/10/22,15:3,15,48,32,VL,1,282,,,,
16/10/22,15:3,39,84,33,VL,1,231,,,,
16/10/22,15:3,46,12,55,VL,1,296,,,,
16/10/22,15:4,22,67,45,VL,1,256,,,,
16/10/22,15:4,23,82,52,VL,1,256,,,,
16/10/22,15:7,50,4,46,VL,1,257,,,,
16/10/22,15:10,5,54,47,Bus articul�,14,530,685,,,
16/10/22,15:12,24,68,38,VL,1,270,,,,
16/10/22,15:12,53,67,46,VL,1,258,,,,
16/10/22,15:13,17,57,56,VL,1,246,,,,
16/10/22,15:13,41,70,51,VL,1,255,,,,
16/10/22,15:13,59,37,35,VL,1,231,,,,
16/10/22,15:19,40,74,36,VL,1,243,,,,
16/10/22,15:21,56,44,66,VL,1,259,,,,
16/10/22,15:22,56,40,47,VL,1,268,,,,
16/10/22,15:23,46,95,46,VL,1,310,,,,
16/10/22,15:23,48,39,47,2RM,13,115,,,,
16/10/22,15:26,32,95,58,VL,1,259,,,,
16/10/22,15:26,44,23,52,VL,1,271,,,,
16/10/22,15:28,45,5,64,VL,1,244,,,,
